"date","Open","High","Low","Close","Volume","Adjusted"
2016-09-19,176.050003,177.949997,176.050003,176.720001,1754900,154.605438
2016-09-20,177.710007,178.5,177.330002,177.600006,1598600,155.375336
2016-09-21,177.880005,179.800003,177.5,179.589996,1760000,157.116272
2016-09-22,179.830002,181.660004,179.649994,179.850006,1849000,157.343765
2016-09-23,179.399994,179.699997,177.190002,177.389999,1911000,155.19162
2016-09-26,176.850006,176.910004,175.800003,175.949997,1821000,153.931793
2016-09-27,175.610001,177.029999,175.580002,176.300003,2433600,154.238007
2016-09-28,176.779999,177.979996,176.690002,177.589996,1694000,155.366577
2016-09-29,177.479996,177.630005,174.869995,175.369995,1853600,153.424347
2016-09-30,176.580002,177.149994,176.089996,176.229996,2419400,154.176788
2016-10-03,175.330002,175.949997,174.399994,175.039993,1785600,153.135681
2016-10-04,174.589996,174.970001,171.199997,171.679993,3166900,150.196136
2016-10-05,171.660004,172.559998,171.339996,172.389999,2305500,150.817307
2016-10-06,171.929993,172.320007,170.600006,171.639999,2273400,150.161148
2016-10-07,171.899994,171.940002,170.039993,171.330002,2249100,149.889923
2016-10-10,171.839996,172.75,170.940002,171.139999,1936600,149.723694
2016-10-11,170.240005,170.470001,168.690002,169.679993,1998700,148.446411
2016-10-12,169.600006,170.179993,168.889999,169.720001,1554100,148.481384
2016-10-13,168.869995,170.309998,168.460007,170.020004,1919700,148.743881
2016-10-14,170.990005,171.389999,170.300003,170.330002,1512400,149.01506
2016-10-17,170.539993,171.089996,169.940002,170.210007,1229200,148.91011
2016-10-18,171.679993,171.910004,169.839996,169.949997,1185600,148.682602
2016-10-19,170.800003,170.940002,169.660004,169.910004,1164200,148.647659
2016-10-20,169.570007,170.339996,168.990005,169.860001,1210500,148.603867
2016-10-21,168.110001,169.559998,167.720001,169.5,2013200,148.288971
2016-10-24,172.649994,173.440002,170.899994,171.270004,2668500,149.837433
2016-10-25,169.470001,169.889999,165.110001,166.229996,3826200,145.428116
2016-10-26,165.690002,167.789993,165.410004,166.509995,2174900,145.673096
2016-10-27,166.869995,166.949997,165.279999,165.759995,1486400,145.016968
2016-10-28,166.550003,167.179993,165.139999,165.770004,1934300,145.025757
2016-10-31,166.460007,166.539993,165.179993,165.300003,2289100,144.614532
2016-11-01,165.399994,165.809998,163.850006,164.25,2455600,143.695923
2016-11-02,164.699997,166.369995,163.910004,165.729996,2233400,144.990707
2016-11-03,166.139999,167.639999,165.259995,166.830002,2505000,145.953033
2016-11-04,167.210007,167.850006,166.419998,166.479996,1927500,145.646851
2016-11-07,168.149994,169.889999,167.979996,169.740005,1930900,148.498932
2016-11-08,169.899994,172.050003,169.779999,171.029999,1955700,149.627457
2016-11-09,165.839996,171,165.839996,170.389999,3659300,149.067581
2016-11-10,170.160004,174.669998,169.789993,174.279999,3280000,152.470764
2016-11-11,174.050003,175.130005,173.729996,175.080002,1868200,153.170654
2016-11-14,175.229996,175.509995,171.899994,172.910004,2607000,151.272232
2016-11-15,173.160004,174.25,171.910004,174.240005,2177100,152.435776
2016-11-16,173.130005,173.229996,171.570007,172.009995,2022600,151.449646
2016-11-17,172.009995,173.25,172.009995,172.770004,1783700,152.11882
2016-11-18,172.509995,173.279999,172.289993,172.960007,1711100,152.286118
2016-11-21,171.419998,171.979996,170.720001,171.520004,1993900,151.018219
2016-11-22,171.669998,172.080002,171.279999,171.910004,1553300,151.361649
2016-11-23,172.080002,172.75,171.759995,172.25,1477900,151.66098
2016-11-25,172.210007,173.990005,172.210007,173.490005,945800,152.752731
2016-11-28,173.559998,173.770004,172.279999,172.5,1677700,151.881088
2016-11-29,172.539993,173.289993,172.149994,172.770004,1483200,152.11882
2016-11-30,172.199997,173.190002,171.589996,171.740005,2595800,151.211975
2016-12-01,171.639999,172.740005,171.449997,172.630005,1756900,151.99556
2016-12-02,172.529999,173.690002,172.240005,172.429993,1871500,151.819458
2016-12-05,172.630005,172.949997,171.089996,171.619995,2181300,151.106293
2016-12-06,171.820007,172.029999,171.229996,171.800003,1467500,151.264755
2016-12-07,172.380005,176.059998,171.970001,176.050003,3164300,155.006775
2016-12-08,176.080002,176.350006,174.770004,175.880005,1790700,154.857071
2016-12-09,175.360001,178.869995,175.300003,178.490005,2650400,157.155136
2016-12-12,178.25,179.809998,177.570007,179.639999,2296100,158.167648
2016-12-13,179.570007,180.059998,176.770004,178.830002,2708600,157.454468
2016-12-14,179.160004,179.389999,176.410004,176.600006,2234200,155.491028
2016-12-15,177.259995,177.580002,175.050003,176.020004,2055600,154.980331
2016-12-16,176.559998,178.5,176.550003,177.449997,3889700,156.23941
2016-12-19,177.610001,178.669998,177.320007,178.160004,1382000,156.864578
2016-12-20,178.339996,179.330002,178.059998,178.649994,1378200,157.295975
2016-12-21,178.600006,179.529999,178.419998,178.429993,1555900,157.10228
2016-12-22,178.889999,179.460007,177.979996,179.199997,1225600,157.780243
2016-12-23,179.089996,179.289993,178.529999,178.75,731100,157.384033
2016-12-27,178.660004,179.199997,178.570007,178.919998,651000,157.533691
2016-12-28,178.880005,179.449997,178.020004,178.080002,1287900,156.794113
2016-12-29,178.289993,179.139999,178.029999,178.410004,1102000,157.084702
